Name,Code,Market
오토앤,353590,KRX
아티스트스튜디오,200350,KRX
라피치,403360,KRX
제이엠멀티,254160,KRX
신한서부티엔디리츠,404990,KRX
툴젠,199800,KRX
미래에셋글로벌리츠,396690,KRX
켈스,402420,KRX
SK스퀘어,402340,KRX
마음AI,377480,KRX
알비더블유,361570,KRX
NH올원리츠,400760,KRX
NPX,222160,KRX
트윔,290090,KRX
아이티아이즈,372800,KRX
지오엘리먼트,311320,KRX
SKAI,357880,KRX
디어유,376300,KRX
지니너스,389030,KRX
카카오페이,377300,KRX
피코그램,376180,KRX
엔켐,348370,KRX
리파인,377450,KRX
지앤비에스 에코,382800,KRX
아이패밀리에스씨,114840,KRX
차백신연구소,261780,KRX
지아이텍,382480,KRX
코닉오토메이션,391710,KRX
케이카,381970,KRX
씨유테크,376290,KRX
아스플로,159010,KRX
원준,382840,KRX
실리콘투,257720,KRX
에스앤디,260970,KRX
프롬바이오,377220,KRX
바이오플러스,099430,KRX
HD현대중공업,329180,KRX
SK리츠,395400,KRX
와이엠텍,273640,KRX
에이비온,203400,KRX
라이콤,388790,KRX
일진하이솔루스,271940,KRX
디앤디플랫폼리츠,377190,KRX
바이젠셀,308080,KRX
아주스틸,139990,KRX
롯데렌탈,089860,KRX
브레인즈컴퍼니,099390,KRX
딥노이드,315640,KRX
한컴라이프케어,372910,KRX
엠로,058970,KRX
플래티어,367000,KRX
원티드랩,376980,KRX
크래프톤,259960,KRX
HK이노엔,195940,KRX
PI첨단소재,178920,KRX
카카오뱅크,323410,KRX
에브리봇,270660,KRX
비트맥스,377030,KRX
큐라클,365270,KRX
에스디바이오센서,137310,KRX
오비고,352910,KRX
엠씨넥스,097520,KRX
아모센스,357580,KRX
타임기술,318660,KRX
이노뎁,303530,KRX
라온로보틱스,232680,KRX
이성씨엔아이,379390,KRX
현대ADM,187660,KRX
에코프로에이치엔,383310,KRX
LX홀딩스,383800,KRX
진시스템,363250,KRX
한울앤제주,276730,KRX
F&F,383220,KRX
삼영에스앤씨,361670,KRX
샘씨엔에스,252990,KRX
씨앤씨인터내셔널,352480,KRX
에이치피오,357230,KRX
SK아이이테크놀로지,361610,KRX
쿠콘,294570,KRX
이삭엔지니어링,351330,KRX
해성에어로보틱스,059270,KRX
엔시스,333620,KRX
자이언트스텝,289220,KRX
제노코,361390,KRX
스피어,347700,KRX
SK바이오사이언스,302440,KRX
바이오다인,314930,KRX
네오이뮨텍,950220,KRX
화승알앤에이,378850,KRX
싸이버원,356890,KRX
프레스티지바이오로직스,334970,KRX
나노씨엠에스,247660,KRX
뷰노,338220,KRX
엑스플러스,373200,KRX
유일에너테크,340930,KRX
씨이랩,189330,KRX
오로스테크놀로지,322310,KRX
피엔에이치테크,239890,KRX
모비데이즈,363260,KRX
아이퀘스트,262840,KRX
프레스티지바이오파마,950210,KRX
레인보우로보틱스,277810,KRX
아티스트컴퍼니,321820,KRX
솔루엠,248070,KRX
핑거,163730,KRX
모비릭스,348030,KRX
씨앤투스,352700,KRX
선진뷰티사이언스,086710,KRX
DL이앤씨,375500,KRX
엔비티,236810,KRX
파이버프로,368770,KRX
나우코스,257990,KRX
루트락,253610,KRX
ESR켄달스퀘어리츠,365550,KRX
블리츠웨이엔터테인먼트,369370,KRX
석경에이티,357550,KRX
지놈앤컴퍼니,314130,KRX
프리시젼바이오,335810,KRX
알체라,347860,KRX
하이딥,365590,KRX
에프앤가이드,064850,KRX
티엘비,356860,KRX
인바이오,352940,KRX
엔젠바이오,354200,KRX
퀀타매트릭스,317690,KRX
명신산업,009900,KRX
셀레스트라,352770,KRX
포인트모바일,318020,KRX
앱코,129890,KRX
엔에프씨,265740,KRX
제일일렉트릭,199820,KRX
하나기술,299030,KRX
에이플러스에셋,244920,KRX
티앤엘,340570,KRX
고바이오랩,348150,KRX
네패스아크,330860,KRX
교촌에프앤비,339770,KRX
소룩스,290690,KRX
위드텍,348350,KRX
센코,347000,KRX
바이브컴퍼니,301300,KRX
원포유,122830,KRX
롤링스톤,214610,KRX
피플바이오,304840,KRX
하이브,352820,KRX
넥스틴,348210,KRX
케이엔솔,053080,KRX
비나텍,126340,KRX
씨엔알리서치,359090,KRX
박셀바이오,323990,KRX
티와이홀딩스,363280,KRX
비비씨,318410,KRX
코스텍시스,355150,KRX
핌스,347770,KRX
압타머사이언스,291650,KRX
이오플로우,294090,KRX
카카오게임즈,293490,KRX
피엔케이피부임상연구센타,347740,KRX
코람코라이프인프라리츠,357120,KRX
아이디피,332370,KRX
셀레믹스,331920,KRX
고스트스튜디오,950190,KRX
젝시믹스,337930,KRX
영림원소프트랩,060850,KRX
한국파마,032300,KRX
제이알글로벌리츠,348950,KRX
솔브레인,357780,KRX
미래에셋맵스리츠,357250,KRX
이지스레지던스리츠,350520,KRX
PS일렉트로닉스,332570,KRX
에코앤드림,101360,KRX
엠투아이,347890,KRX
더네이쳐홀딩스,298540,KRX
제놀루션,225220,KRX
솔트룩스,304100,KRX
바이오인프라생명과학,266470,KRX
티에스아이,277880,KRX
에이프로,262260,KRX
이지스밸류플러스리츠,334890,KRX
소마젠,950200,KRX
신도기연,290520,KRX
위더스제약,330350,KRX
에스케이바이오팜,326030,KRX
엠브레인,169330,KRX
젠큐릭스,229000,KRX
무진메디,322970,KRX
HB솔루션,297890,KRX
넥사다이내믹스,351320,KRX
에스씨엠생명과학,298060,KRX
휴럼,353190,KRX
이지바이오,353810,KRX
드림씨아이에스,223250,KRX
대덕전자,353200,KRX
캐프,198080,KRX
플레이디,237820,KRX
서울바이오시스,092190,KRX
제이앤티씨,204270,KRX
켄코아에어로스페이스,274090,KRX
레몬,294140,KRX
서남,294630,KRX
위세아이텍,065370,KRX
케이씨씨글라스,344820,KRX
세림B&G,340440,KRX
CJ 바이오사이언스,311690,KRX
엔에스엠,238170,KRX
한국첨단소재,062970,KRX
RF머트리얼즈,327260,KRX
아이비김영,339950,KRX
파라택시스코리아,288330,KRX
다보링크,340360,KRX
메드팩토,235980,KRX
원텍,336570,KRX
신테카바이오,226330,KRX
제이엘케이,322510,KRX
태웅로직스,124560,KRX
윙스풋,335870,KRX
노드메이슨,317860,KRX
리메드,302550,KRX
NH프라임리츠,338100,KRX
타스컴,336040,KRX
진코스텍,250030,KRX
웨이버스,336060,KRX
유엑스엔,337840,KRX
